Suzannah Agrippa,https://www.fashionmodeldirectory.com/models/suzannah_agrippa/,British (English),NA,170.0,86.5,61.0,89.0,36,37,Black,Brown
Vanessa Aguasvivas,https://www.fashionmodeldirectory.com/models/vanessa_aguasvivas/,Dominican,NA,178.0,76.0,63.5,89.0,34-36,42,Brown,Brown
Yar Aguer,https://www.fashionmodeldirectory.com/models/yar_aguer/,South Sudanese,NA,178.0,76.0,58.0,86.0,32-34,38.5,Black,Dark brown
Paloma Aguilar,https://www.fashionmodeldirectory.com/models/paloma_aguilar/,Mexican,1995,176.0,86.0,63.0,89.0,32-34,40,Brown,Brown
Kira Aguilar,https://www.fashionmodeldirectory.com/models/kira_aguilar/,American,1998,177.0,83.0,61.0,86.0,34,39,Dark blonde,Blue / green
Marta Aguilar,https://www.fashionmodeldirectory.com/models/marta_aguilar/,Spanish,NA,173.0,82.0,61.0,86.0,34,38.5,Light brown,Brown
Ryu Aguilar,https://www.fashionmodeldirectory.com/models/ryu_aguilar/,American,NA,185.0,91.4,71.1,81.3,40-42,42,Brown,Brown
Daniel Aguilera,https://www.fashionmodeldirectory.com/models/daniel_aguilera/,Puerto Rican,NA,185.0,89.0,76.0,89.0,46,45,Black,Brown
Nuria Aguiló,https://www.fashionmodeldirectory.com/models/nuria_aguil%c3%b3/,Spanish,1988,172.0,83.0,58.0,88.0,32,39,Red,Hazel
Ximena Aguirre,https://www.fashionmodeldirectory.com/models/ximena_aguirre/,Mexican,NA,175.0,86.0,63.0,90.0,32-34,39,Brown,Green
Maylin Aguirre,https://www.fashionmodeldirectory.com/models/maylin_aguirre/,Cuban,NA,176.0,80.0,58.0,88.0,33,NA,Dark brown,Dark brown
Sif Agustsdottir,https://www.fashionmodeldirectory.com/models/sif_agustsdottir/,Icelandic,NA,173.0,84.0,65.0,92.0,34,39,Blonde,Brown
Eman Agwet,https://www.fashionmodeldirectory.com/models/eman_agwet/,Ugandan,NA,178.0,81.0,61.0,89.0,32-34,39,Black,Brown
Hye Ah Kim,https://www.fashionmodeldirectory.com/models/hye_ah+kim/,South Korean,NA,179.0,81.0,59.0,89.0,35,39,Black,Black
Linnea Ahlman,https://www.fashionmodeldirectory.com/models/linnea_ahlman/,Swedish,July 1,176.0,81.0,64.0,85.0,32-34,38,Dark brown,Blue / green
Andrea Ahlstrand,https://www.fashionmodeldirectory.com/models/andrea_ahlstrand/,Swedish,NA,174.0,86.0,60.0,89.0,36,39,Blonde,Blue
Emma Åhlund,https://www.fashionmodeldirectory.com/models/emma_%c3%85hlund/,Swedish,1990,178.0,81.0,61.0,89.0,34,39,Blonde,Blue
